city;country;cityname;countryname;pop;gdp;lat;long;kgclzone;kgclzone1;kgclzone2;Continent;Region;hwclass;hwscore;MeanST;Median;IQR;Range;trend
stgl.sui9513;sui9513;St. Gallen;Switzerland;75000;38864;47.4250593;9.3765878;Cfb;C;Cf;Europe;Western Europe;2;17;15.1;15.2;6;25.4;0.4
zrch.sui9513;sui9513;Zurich;Switzerland;391000;38864;47.3744489;8.5410422;Cfb;C;Cf;Europe;Western Europe;2;17;16.4;16.4;5.8;23.8;0.39
brmn.uk9020;uk9020;Birmingham;UK;1107000;28289;52.4796992;-1.9026911;Cfb;C;Cf;Europe;Northern Europe;3;31;14.9;15;4.1;20.4;0.22
crdf.uk9020;uk9020;Cardiff;UK;461000;28289;51.4816546;-3.1791934;Cfb;C;Cf;Europe;Northern Europe;3;31;15.5;15.6;3.7;19.6;0.16
lndn.uk9020;uk9020;London;UK;8603000;28289;51.5073219;-0.1276474;Cfb;C;Cf;Europe;Northern Europe;3;31;16.5;16.5;4.2;21.5;0.23
lvrp.uk9020;uk9020;Liverpool;UK;478000;28289;53.4071991;-2.99168;Cfb;C;Cf;Europe;Northern Europe;3;31;15.3;15.4;3.6;21.2;0.2
mnch.uk9020;uk9020;Manchester;UK;524000;28289;53.4794892;-2.2451148;Cfb;C;Cf;Europe;Northern Europe;3;31;15.3;15.3;3.7;21.1;0.17
nwul.uk9020;uk9020;Newcastle-under-Lyme;UK;75000;28289;53.0117627;-2.2273919;Cfb;C;Cf;Europe;Northern Europe;3;31;14.5;14.5;3.9;21.8;0.19
nwut.uk9020;uk9020;Newcastle upon Tyne;UK;790000;28289;54.9738474;-1.6131572;Cfb;C;Cf;Europe;Northern Europe;3;31;14.2;14.4;3.9;20.2;0.25
prts.uk9020;uk9020;Portsmouth;UK;208000;28289;50.8036831;-1.075614;Cfb;C;Cf;Europe;Northern Europe;3;31;16.3;16.5;3.7;19.3;0.18
sthm.uk9020;uk9020;Southampton;UK;244000;28289;50.9025349;-1.404189;Cfb;C;Cf;Europe;Northern Europe;3;31;16.3;16.5;3.9;19.9;0.21
